longitude,latitude,housing_median_age,median_house_value,bedroom_ratio,household_rooms,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN
-122.22,37.81,52,390100,0.137341988,7.702631579,0,0,0,1,0
-122.23,37.81,52,410300,0.126133909,8.972868217,0,0,0,1,0
-122.24,37.81,52,352400,0.125955734,7.599388379,0,0,0,1,0
-122.24,37.81,52,287300,0.159731544,5.8203125,0,0,0,1,0
-122.23,37.81,52,348700,0.1297086,7.994318182,0,0,0,1,0
-122.24,37.81,52,243800,0.262780698,4.333333333,0,0,0,1,0
-122.24,37.8,52,211500,0.189189189,5.074285714,0,0,0,1,0
-122.25,37.8,52,218400,0.244369909,4.276639344,0,0,0,1,0
-122.24,37.81,52,269900,0.199761242,4.851351351,0,0,0,1,0
-122.25,37.81,46,218800,0.25835396,4.326639893,0,0,0,1,0
-122.25,37.8,42,225000,0.258495146,4.0591133,0,0,0,1,0
-122.25,37.8,43,250000,0.335025381,3.274238227,0,0,0,1,0
-122.25,37.8,41,171400,0.318830727,3.561743341,0,0,0,1,0
-122.25,37.8,29,193800,0.350081037,3.192755498,0,0,0,1,0
-122.24,37.79,27,125000,0.301470588,3.804195804,0,0,0,1,0
-122.25,37.79,45,97500,0.294512878,3.882608696,0,0,0,1,0
-122.25,37.79,50,125000,0.298887122,3.209183673,0,0,0,1,0
-122.25,37.79,52,138800,0.292008962,3.688705234,0,0,0,1,0
-122.25,37.8,36,116700,0.361144219,3.090239411,0,0,0,1,0
-122.25,37.8,43,151800,0.276023891,3.639751553,0,0,0,1,0
-122.24,37.8,52,127000,0.228915663,4.368421053,0,0,0,1,0
-122.24,37.8,52,128600,0.234443746,4.585014409,0,0,0,1,0
-122.24,37.8,52,140600,0.250945776,4.734328358,0,0,0,1,0
-122.24,37.8,47,182700,0.287390029,3.693140794,0,0,0,1,0
-122.23,37.8,52,146900,0.242449664,4.638132296,0,0,0,1,0
-122.24,37.8,52,122800,0.232945092,4.496259352,0,0,0,1,0
-122.24,37.8,49,169300,0.263918252,4.192023634,0,0,0,1,0
-122.23,37.8,52,126600,0.234993614,4.209677419,0,0,0,1,0
-122.23,37.8,51,127900,0.260377358,4.056122449,0,0,0,1,0
-122.23,37.8,50,123500,0.274914089,4.207228916,0,0,0,1,0
-122.23,37.8,52,111900,0.238817891,4.471428571,0,0,0,1,0
-122.23,37.79,43,112800,0.225389904,4.844029245,0,0,0,1,0
-122.23,37.79,52,107900,0.221536736,4.327669903,0,0,0,1,0
-122.23,37.79,30,137500,0.264264264,3.798479087,0,0,0,1,0
-122.24,37.79,39,105500,0.293396869,3.776349614,0,0,0,1,0
-122.24,37.79,47,95500,0.287900875,4.528052805,0,0,0,1,0
-122.24,37.79,52,116100,0.267062315,4.011904762,0,0,0,1,0
-122.24,37.79,43,112200,0.231242312,4.554621849,0,0,0,1,0
-122.25,37.79,51,75000,0.245714286,3.181818182,0,0,0,1,0
-122.25,37.79,39,112500,0.279826464,3.74796748,0,0,0,1,0
-122.25,37.79,52,125000,0.262749446,3.973568282,0,0,0,1,0
-122.26,37.8,20,115000,0.328276443,3.51035503,0,0,0,1,0
-122.22,37.77,52,95000,0.327365729,2.833333333,0,0,0,1,0
-122.22,37.77,52,96400,0.26473175,4.38996139,0,0,0,1,0
-122.23,37.77,52,72000,0.267880364,4.202185792,0,0,0,1,0
-122.23,37.78,52,71300,0.309322034,3.746031746,0,0,0,1,0
-122.23,37.78,52,80800,0.249419954,4.046948357,0,0,0,1,0
-122.22,37.78,50,128800,0.276041667,4.025157233,0,0,0,1,0
-122.23,37.78,43,112500,0.332394366,3.242009132,0,0,0,1,0
-122.23,37.78,52,119400,0.261663286,3.866666667,0,0,0,1,0
-122.23,37.78,44,118100,0.352564103,3.115845539,0,0,0,1,0
-122.23,37.79,48,122500,0.233490566,4.944606414,0,0,0,1,0
-122.23,37.79,49,106300,0.184680851,5.365296804,0,0,0,1,0
-122.22,37.79,37,132500,0.244985062,4.479923518,0,0,0,1,0
-122.23,37.79,30,122700,0.237704918,4.357142857,0,0,0,1,0
-122.23,37.79,40,113300,0.213978495,5.054347826,0,0,0,1,0
-122.22,37.79,44,109500,0.211163416,5.466911765,0,0,0,1,0
-122.22,37.79,52,164700,0.201518692,4.998540146,0,0,0,1,0
-122.21,37.79,52,125000,0.249343832,3.907692308,0,0,0,1,0
-122.22,37.79,46,124700,0.243026205,4.489563567,0,0,0,1,0
-122.22,37.79,49,136700,0.246440307,4.306603774,0,0,0,1,0
-122.22,37.79,38,141700,0.23319121,4.626707132,0,0,0,1,0
-122.2,37.79,29,150000,0.229268293,4.823529412,0,0,0,1,0
-122.21,37.79,47,138800,0.198963059,5.284246575,0,0,0,1,0
-122.21,37.79,34,139200,0.235617597,4.581395349,0,0,0,1,0
-122.21,37.79,35,143800,0.234383954,4.520725389,0,0,0,1,0
-122.21,37.8,39,156500,0.249625562,4.316810345,0,0,0,1,0
-122.21,37.8,39,151000,0.221506442,4.524663677,0,0,0,1,0
-122.2,37.8,43,273000,0.163875205,6.692307692,0,0,0,1,0
-122.2,37.8,52,217100,0.189398836,5.77238806,0,0,0,1,0
-122.21,37.8,52,187100,0.202046036,4.984419263,0,0,0,1,0
-122.2,37.8,41,239600,0.171014493,6.088235294,0,0,0,1,0
-122.21,37.8,48,229700,0.199091597,5.242063492,0,0,0,1,0
-122.19,37.8,48,257300,0.152892562,7.117647059,0,0,0,1,0
-122.19,37.8,46,246900,0.175954592,5.837349398,0,0,0,1,0
-122.19,37.79,50,179900,0.201446281,5.260869565,0,0,0,1,0
-122.2,37.79,40,169600,0.241509434,4.510638298,0,0,0,1,0
-122.2,37.8,46,203300,0.198432141,5.115288221,0,0,0,1,0
-122.19,37.8,52,263400,0.149476007,6.545126354,0,0,0,1,0
-122.19,37.79,45,231800,0.165930831,5.986784141,0,0,0,1,0
-122.19,37.79,28,140500,0.242048346,4.69955157,0,0,0,1,0
-122.2,37.79,35,126000,0.254716981,4.620512821,0,0,0,1,0
-122.2,37.79,49,122000,0.221088435,4.2,0,0,0,1,0
-122.2,37.79,44,134700,0.278840222,3.301425662,0,0,0,1,0
-122.21,37.79,45,139400,0.252009456,4.462025316,0,0,0,1,0
-122.2,37.79,45,115400,0.261256804,4.210416667,0,0,0,1,0
-122.21,37.78,46,137300,0.226887003,3.934973638,0,0,0,1,0
-122.21,37.78,52,137000,0.203114421,5.49070632,0,0,0,1,0
-122.21,37.78,52,142600,0.212121212,4.310204082,0,0,0,1,0
-122.21,37.78,49,137500,0.271714922,3.665306122,0,0,0,1,0
-122.22,37.78,44,111700,0.239218329,4.86557377,0,0,0,1,0
-122.21,37.78,43,126800,0.27027027,4.181818182,0,0,0,1,0
-122.21,37.78,47,111300,0.281498297,3.65560166,0,0,0,1,0
-122.22,37.77,40,114800,0.230769231,3.659259259,0,0,0,1,0
-122.22,37.78,50,102300,0.266328829,4.036363636,0,0,0,1,0
-122.22,37.78,44,131900,0.306317044,3.38989899,0,0,0,1,0
-122.22,37.78,51,119100,0.282834453,4.165394402,0,0,0,1,0
-122.21,37.76,52,80600,0.221126761,4.733333333,0,0,0,1,0
-122.21,37.77,52,80600,0.292724196,4.313868613,0,0,0,1,0
-122.21,37.77,52,88800,0.205369128,5,0,0,0,1,0
-122.2,37.77,49,102400,0.219190141,4.703933747,0,0,0,1,0
-122.21,37.77,46,98700,0.303889789,3.485875706,0,0,0,1,0
-122.21,37.77,43,100000,0.322517207,3.671480144,0,0,0,1,0
-122.19,37.77,42,92300,0.272532189,3.543726236,0,0,0,1,0
-122.2,37.77,39,94800,0.222015619,5.00744879,0,0,0,1,0
-122.2,37.77,41,102000,0.268261151,4.536656891,0,0,0,1,0
-122.2,37.78,52,158400,0.192608696,5.437352246,0,0,0,1,0
-122.2,37.78,39,121600,0.227739726,4.659574468,0,0,0,1,0
-122.2,37.78,50,129100,0.215854312,4.939153439,0,0,0,1,0
-122.2,37.77,43,121400,0.206584362,5.020661157,0,0,0,1,0
-122.21,37.78,44,102800,0.239444766,4.399491094,0,0,0,1,0
-122.19,37.78,52,160000,0.175438596,6.107142857,0,0,0,1,0
-122.19,37.77,52,143900,0.197235023,5.105882353,0,0,0,1,0
-122.19,37.77,52,151200,0.191069128,5.585131894,0,0,0,1,0
-122.19,37.78,52,164400,0.166532905,6.645333333,0,0,0,1,0
-122.19,37.78,52,156500,0.180618744,5.956639566,0,0,0,1,0
-122.18,37.78,33,225000,0.218309859,3.021276596,0,0,0,1,0
-122.19,37.78,49,174200,0.17328825,5.660287081,0,0,0,1,0
-122.19,37.78,52,166900,0.180373832,5.631578947,0,0,0,1,0
-122.2,37.78,45,163500,0.18799547,5.400611621,0,0,0,1,0
-122.18,37.79,39,253000,0.153970827,5.820754717,0,0,0,1,0
-122.18,37.79,41,240700,0.165131113,6.593457944,0,0,0,1,0
-122.18,37.79,46,208100,0.183499289,6.410334347,0,0,0,1,0
-122.19,37.79,47,198100,0.197721725,4.80078125,0,0,0,1,0
-122.19,37.79,50,172800,0.227463312,4.746268657,0,0,0,1,0
-122.18,37.81,37,336700,0.159464394,6.176691729,0,0,0,1,0
-122.18,37.8,34,318200,0.143911439,6.948717949,0,0,0,1,0
-122.18,37.8,23,285800,0.145015106,7.06402439,0,0,0,1,0
-122.13,37.77,24,293000,0.128914193,7.589506173,0,0,0,1,0
-122.16,37.79,22,371000,0.159476717,6.528723945,0,0,0,1,0
-122.17,37.78,42,157300,0.170603675,5.707865169,0,0,0,1,0
-122.17,37.77,30,135300,0.224293446,4.731152205,0,0,0,1,0
-122.18,37.78,43,136700,0.221662469,4.877149877,0,0,0,1,0
-122.18,37.78,50,160700,0.196102314,5.781690141,0,0,0,1,0
-122.17,37.78,49,140600,0.198208287,4.933701657,0,0,0,1,0
-122.17,37.78,52,144000,0.196018377,5.396694215,0,0,0,1,0
-122.16,37.77,48,156300,0.198567042,5.427777778,0,0,0,1,0
-122.16,37.77,45,176000,0.170826162,6.052083333,0,0,0,1,0
-122.16,37.77,39,145800,0.220467467,5.009493671,0,0,0,1,0
-122.17,37.77,39,141900,0.212158809,5.00621118,0,0,0,1,0
-122.17,37.77,31,90700,0.219884488,5.362831858,0,0,0,1,0
-122.17,37.76,41,90600,0.230238394,4.490140845,0,0,0,1,0
-122.17,37.76,47,107900,0.194995279,5.544502618,0,0,0,1,0
-122.18,37.76,37,107000,0.227301587,4.921875,0,0,0,1,0
-122.17,37.76,38,98200,0.225056689,4.983050847,0,0,0,1,0
-122.18,37.76,50,89500,0.219882056,4.825203252,0,0,0,1,0
-122.18,37.76,52,93800,0.232095491,4.56969697,0,0,0,1,0
-122.18,37.76,49,96700,0.195840555,5.11751663,0,0,0,1,0
-122.18,37.77,27,97500,0.259625963,5.789808917,0,0,0,1,0
-122.18,37.77,42,97300,0.21779661,4.402985075,0,0,0,1,0
-122.18,37.76,43,91200,0.202180377,5.498637602,0,0,0,1,0
-122.19,37.76,49,91400,0.206140351,5.085501859,0,0,0,1,0
-122.18,37.77,52,96200,0.199344023,4.953068592,0,0,0,1,0
-122.18,37.77,51,120100,0.223540579,4.810502283,0,0,0,1,0
-122.18,37.77,52,100000,0.207093822,4.775956284,0,0,0,1,0
-122.19,37.76,52,94700,0.193181818,5.782857143,0,0,0,1,0
-122.2,37.76,47,85700,0.232078853,4,0,0,0,1,0
-122.19,37.77,41,89300,0.250491159,4.484581498,0,0,0,1,0
-122.19,37.77,45,101400,0.212203024,5.306590258,0,0,0,1,0
-122.19,37.76,41,72500,0.2247557,5.79245283,0,0,0,1,0
-122.19,37.76,45,74100,0.23919598,4.198312236,0,0,0,1,0
-122.2,37.75,36,70000,0.217821782,4.556390977,0,0,0,1,0
-122.2,37.76,37,84600,0.274626866,4.017991004,0,0,0,1,0
-122.19,37.76,38,81800,0.247823175,4.253561254,0,0,0,1,0
-122.19,37.75,19,81400,0.256003625,4.244230769,0,0,0,1,0
-122.19,37.75,28,81800,0.220794393,5.283950617,0,0,0,1,0
-122.19,37.76,26,85800,0.229698376,4.267326733,0,0,0,1,0
-122.19,37.74,36,87100,0.250295159,5.327044025,0,0,0,1,0
-122.18,37.74,42,83500,0.284658041,4.398373984,0,0,0,1,0
-122.19,37.73,44,79700,0.237335835,4.368852459,0,0,0,1,0
-122.19,37.74,43,83400,0.207920792,4.561290323,0,0,0,1,0
-122.19,37.73,45,84700,0.190445026,5.324041812,0,0,0,1,0
-122.18,37.73,42,80000,0.236523652,4.590909091,0,0,0,1,0
-122.18,37.73,43,76400,0.210639827,4.880701754,0,0,0,1,0
-122.18,37.73,44,79700,0.217153285,4.029411765,0,0,0,1,0
-122.18,37.73,42,82400,0.214531173,5.223076923,0,0,0,1,0
-122.17,37.74,41,97700,0.275883447,3.896135266,0,0,0,1,0
-122.17,37.74,47,97200,0.289416847,3.379562044,0,0,0,1,0
-122.17,37.74,43,101600,0.23594132,4.569832402,0,0,0,1,0
-122.17,37.73,43,86500,0.251866938,4.319648094,0,0,0,1,0
-122.18,37.74,35,90500,0.25,4.623853211,0,0,0,1,0
-122.17,37.74,46,107600,0.220272904,4.56,0,0,0,1,0
-122.17,37.74,46,84200,0.237971391,4.320224719,0,0,0,1,0
-122.18,37.74,46,88900,0.185924869,5.940677966,0,0,0,1,0
-122.18,37.75,45,80700,0.23030303,4.125,0,0,0,1,0
-122.18,37.75,46,87100,0.231668438,4.825641026,0,0,0,1,0
-122.18,37.75,45,82000,0.263636364,3.807692308,0,0,0,1,0
-122.19,37.75,36,82800,0.23357016,7.506666667,0,0,0,1,0
-122.18,37.75,43,84600,0.224903475,4.863849765,0,0,0,1,0
-122.18,37.75,36,82100,0.204393505,6.307228916,0,0,0,1,0
-122.17,37.76,33,89300,0.23984375,4.475524476,0,0,0,1,0
-122.17,37.75,43,98300,0.201638311,5.18627451,0,0,0,1,0
-122.17,37.75,41,92300,0.215592681,5.465217391,0,0,0,1,0
-122.17,37.75,44,88800,0.203612479,4.795275591,0,0,0,1,0
-122.17,37.75,48,90000,0.222729869,5.017191977,0,0,0,1,0
-122.16,37.76,45,95500,0.223575468,4.75,0,0,0,1,0
-122.16,37.75,38,91700,0.253968254,5.097510373,0,0,0,1,0
-122.17,37.75,47,100400,0.211422846,5.394594595,0,0,0,1,0
-122.17,37.76,40,94800,0.203560831,4.926900585,0,0,0,1,0
-122.16,37.76,46,164300,0.16803503,6.049668874,0,0,0,1,0
-122.16,37.76,36,155500,0.206400575,5.358381503,0,0,0,1,0
-122.15,37.76,39,196900,0.156884257,6.751851852,0,0,0,1,0
-122.14,37.77,27,279100,0.163750561,6.278873239,0,0,0,1,0
-122.14,37.76,34,252800,0.152676801,7.170616114,0,0,0,1,0
-122.13,37.76,26,275400,0.150336803,6.127579737,0,0,0,1,0
-122.12,37.75,33,250000,0.144278607,8.260273973,0,0,0,1,0
-122.12,37.75,28,329800,0.139798489,7.28440367,0,0,0,1,0
-122.14,37.75,36,195500,0.152173913,6.330275229,0,0,0,1,0
-122.14,37.75,33,255900,0.149925037,6.603960396,0,0,0,1,0
-122.13,37.75,30,311100,0.130434783,8.28,0,0,0,1,0
-122.13,37.75,36,330000,0.12109375,8.258064516,0,0,0,1,0
-122.13,37.74,41,248900,0.151363636,6.790123457,0,0,0,1,0
-122.16,37.75,46,142900,0.168763103,6.194805195,0,0,0,1,0
-122.15,37.75,40,126300,0.17716263,5.666666667,0,0,0,1,0
-122.15,37.75,44,135800,0.205882353,5.854984894,0,0,0,1,0
-122.15,37.74,41,130600,0.207943925,4.481675393,0,0,0,1,0
-122.16,37.75,24,107900,0.253631285,4.637305699,0,0,0,1,0
-122.16,37.75,44,111100,0.212317666,4.57037037,0,0,0,1,0
-122.15,37.74,43,122000,0.198843095,5.084558824,0,0,0,1,0
-122.15,37.74,49,118000,0.209056604,4.69858156,0,0,0,1,0
-122.16,37.75,40,95200,0.239608802,4.701149425,0,0,0,1,0
-122.16,37.75,35,94300,0.209895052,5.015037594,0,0,0,1,0
-122.17,37.74,34,92500,0.229762878,4.367857143,0,0,0,1,0
-122.17,37.75,37,91800,0.208121827,5.324324324,0,0,0,1,0
-122.16,37.74,43,109400,0.195567145,5.2,0,0,0,1,0
-122.16,37.74,46,129500,0.175898931,4.876777251,0,0,0,1,0
-122.16,37.74,52,143400,0.190661479,5.354166667,0,0,0,1,0
-122.16,37.74,47,98200,0.270631068,4.963855422,0,0,0,1,0
-122.16,37.74,44,103100,0.21786691,5.102325581,0,0,0,1,0
-122.29,37.9,49,276800,0.185502728,5.436440678,0,0,0,1,0
-122.29,37.9,52,270900,0.163965087,5.608391608,0,0,0,1,0
-122.29,37.89,52,246200,0.18772242,5.962864721,0,0,0,1,0
